Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Ryanfire Mastic,1172,Nr,N/A,N/A,$27.00,"$31,644.00"
"RyanfIre SL Collar, Ryanfire Mastic",4,Nr,N/A,N/A,$51.00,$204.00
Ryanfire Powerpad,1110,Nr,N/A,N/A,$22.00,"$24,420.00"
"Ryanfire SL Collar, Ryanfire HPX",116,Nr,N/A,N/A,$90.00,"$10,440.00"
Protecta FR Putty Cord,232,Nr,N/A,N/A,$30.00,"$6,960.00"
"Ryanfire 502 Batt, Ryanfire Mastic, Ryanfire Servo Wrap",26,Nr,N/A,N/A,$388.00,"$10,088.00"
Hilti CP606,262,Nr,N/A,N/A,$18.00,"$4,716.00"
Ryan Power Pad,408,Nr,N/A,N/A,$22.00,"$8,976.00"
Gib patch + compatible Sealant,1,Nr,N/A,N/A,$35.00,$35.00
Office administration setting up job and ordering materials,1,EA,N/A,N/A,$0.00,$0.00
1 Days parking,1,Day,N/A,N/A,$0.00,$0.00
Hilti CFS - IS (Hilti Cp611A),232,Nr,N/A,N/A,$30.00,"$6,960.00"
1 hour of solution finding,1,Hour,N/A,N/A,$0.00,$0.00
Labels for each solution installed as per the councils requirements,1,EA,N/A,N/A,$0.00,$0.00
Plan uploaded to QA platform and client access to view all works carried out,1,EA,N/A,N/A,$0.00,$0.00
Subtotals:,,,,"$2,248,817.97",,"$119,069.00"
